Line	Treat	Place	Year	Hea	Height	Yield
Sca016	N	Irlbach	2004	69	80	48.3428
Sca016	T	Morgenrot	2004	68	115	59.13
Sca016	N	Morgenrot	2004	69	119	65.012
Sca017	T	Diko	2003	76	80	70.75
Sca017	N	Diko	2003	76	73	64.3333
Sca017	T	Gudow	2003	75	78	68.5
Sca017	N	Gudow	2003	77	62	60.75
Sca017	T	Irlbach	2003	70	50	37.82051282
Sca017	N	Irlbach	2003	69	55	56.5018315
Sca017	T	Morgenrot	2003	75	76	71.78
Sca017	N	Morgenrot	2003	77	69	57.696
Sca017	T	Diko	2004	78	90	76.3483
Sca017	N	Diko	2004	79	87	71.8683
Sca017	T	Gudow	2004	73	78	53.67
Sca017	N	Gudow	2004	75	80	67.56
Sca017	T	Irlbach	2004	77	55	50.174
Sca017	N	Irlbach	2004	73	55	69.035
Sca017	T	Morgenrot	2004	72	97	64.35
Sca017	N	Morgenrot	2004	74	97	76.328
Sca018	T	Diko	2003	77	78	67.7
Sca018	N	Diko	2003	78	70	55.8333
Sca018	T	Gudow	2003	75	86	80.25
Sca018	N	Gudow	2003	76	70	58.75
Sca018	T	Irlbach	2003	70	50	45.05494505
Sca018	N	Irlbach	2003	68	50	53.38827839
Sca018	T	Morgenrot	2003	74	80	81.69
Sca018	N	Morgenrot	2003	68	76	68.76
Sca018	T	Diko	2004	81	95	78.485
Sca018	N	Diko	2004	82	80	65.37
Sca018	T	Gudow	2004	74	80	61.56
Sca018	N	Gudow	2004	75	88	64.78
Sca018	T	Irlbach	2004	75	65	55.2097
Sca018	N	Irlbach	2004	74	60	72.5142
Sca018	T	Morgenrot	2004	73	98	71.51
Sca018	N	Morgenrot	2004	75	103	78.542
Sca019	T	Diko	2003	73	81	64.6
Sca019	N	Diko	2003	75	78	55.1667
Sca019	T	Gudow	2003	73	84	65.875
Sca019	N	Gudow	2003	73	72	44.375
Sca019	T	Irlbach	2003	67	45	43.77289377
Sca019	N	Irlbach	2003	67	50	55.4029304
Sca019	T	Morgenrot	2003	72	79	59.02
Sca019	N	Morgenrot	2003	75	75	56.644
Sca019	T	Diko	2004	77	92	76.87
Sca019	N	Diko	2004	77	85	68.5867
Sca019	T	Gudow	2004	71	80	62
Sca019	N	Gudow	2004	71	93	58.67
Sca019	T	Irlbach	2004	75	60	62.9921
